"STUDYID","DOMAIN","TSSEQ","TSGRPID","TSPARMCD","TSPARM","TSVAL","TSVALNF","TSVALCD","TSVCDREF","TSVCDVER"
"SPSNX","TS","3","SPAQ_SULFADOXINE","ROUTE","Route of Administration","","UNK","","",""
"SPSNX","TS","4","SPAQ_PYRIMETHAMINE","ROUTE","Route of Administration","","UNK","","",""
"SPSNX","TS","5","SPAQ_AMODIAQUINE","ROUTE","Route of Administration","","UNK","","",""
"SPSNX","TS","1","DP_ARTENIMOL","PTRTDUR","Planned Treatment Duration","P3D","","","ISO 8601",""
"SPSNX","TS","2","DP_PIPERAQUINE","PTRTDUR","Planned Treatment Duration","P3D","","","ISO 8601",""
"SPSNX","TS","3","SPAQ_SULFADOXINE","PTRTDUR","Planned Treatment Duration","P1D","","","ISO 8601",""
"SPSNX","TS","4","SPAQ_PYRIMETHAMINE","PTRTDUR","Planned Treatment Duration","P1D","","","ISO 8601",""
"SPSNX","TS","5","SPAQ_AMODIAQUINE","PTRTDUR","Planned Treatment Duration","P3D","","","ISO 8601",""
"SPSNX","TS","1","SPAQ","MNFCNTRY","Country of Manufacture","","UNK","","",""
"SPSNX","TS","2","DP","MNFCNTRY","Country of Manufacture","","UNK","","",""
"SPSNX","TS","1","SPAQ","MNFNAM","Manufacturer Name","","UNK","","",""
"SPSNX","TS","2","DP","MNFNAM","Manufacturer Name","","UNK","","",""
"SPSNX","TS","1","SPAQ","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"SPSNX","TS","2","DP","MNFBRND","Manufacturer Brand Name","","UNK","","",""
"SPSNX","TS","1","","FCNTRY","Planned Country of Investigational Sites","Uganda","","UGA","ISO 3166",""
"SPSNX","TS","1","","INTMODEL","Intervention Model","PARALLEL","","C82639","CDISC","2022-12-17"
"SPSNX","TS","1","","INTTYPE","Intervention Type","DRUG","","C1909","CDISC","2022-12-17"
"SPSNX","TS","1","","TCNTRL","Control Type","","UNK","","",""
"SPSNX","TS","1","","TINDTP","Trial Intent Type","TREATMENT","","C49656","CDISC","2021-12-17"
"SPSNX","TS","1","","TTYPE","Trial Type","EFFICACY","","C49666","CDISC","2021-12-17"
"SPSNX","TS","2","","TTYPE","Trial Type","PREVENTION","","C49657","CDISC","2021-12-17"
"SPSNX","TS","1","","TITLE","Trial Title","Effectiveness of sulfadoxine�pyrimethamine plus amodiaquine and dihydroartemisinin�piperaquine for seasonal malaria chemoprevention in Uganda: a three-arm, open-label, non-inferiority and superiority, cluster-randomised, controlled trial","","","",""
"SPSNX","TS","2","","TITLE","Trial Title","Effectiveness and Chemoprevention Efficacy of Implementing Seasonal Malaria Chemoprevention in Karamoja Region, Uganda","","","",""
"SPSNX","TS","3","","TITLE","Trial Title","A hybrid effectiveness-implementation study protocol to assess the effectiveness and chemoprevention efficacy of implementing seasonal malaria chemoprevention in five districts in Karamoja region, Uganda","","","",""
"SPSNX","TS","4","","TITLE","Trial Title","Evaluating the effectiveness and chemoprevention efficacy of implementing seasonal malaria chemoprevention in five districts in Karamoja region, Uganda: A hybrid effectiveness-implementation study protocol","","","",""
"SPSNX","TS","1","","NARMS","Planned Number of Arms","3","","","",""
"SPSNX","TS","1","","NCOHORT","Number of Groups/Cohorts","1","","","",""
"SPSNX","TS","1","","COHODESC","Description of Groups/Cohorts","Children aged 3-59 months  in Karamoja, Uganda","","","",""
"SPSNX","TS","1","","OBSMODEL","Observational Model","","NA","","",""
"SPSNX","TS","1","","OBSTIMP","Observational Time Perspective","","NA","","",""
"SPSNX","TS","1","","OBSTPOPD","Obs Study Population Description","","NA","","",""
"SPSNX","TS","1","","OBSTSMM","Observational Study Sampling Method","","NA","","",""
"SPSNX","TS","1","","OBSTSMMD","Obs Study Sampling Method Description","","NA","","",""
"SPSNX","TS","1","","PLANSUB","Planned Number of Subjects","4270","","","",""
"SPSNX","TS","1","","PLNTRDUR","Planned Trial Duration","P5M","","","ISO 8601",""
"SPSNX","TS","1","","PUBMEDID","PubMed ID for Citation Used in Study","39826559","","","PubMed.gov",""
"SPSNX","TS","2","","PUBMEDID","PubMed ID for Citation Used in Study","38196920","","","PubMed.gov",""
"SPSNX","TS","1","","OTHPUBID","Non PubMed Citation Used in Study","https://doi.org/10.1016/s1473-3099(24)00746-1","","","PubMed.gov",""
"SPSNX","TS","2","","OTHPUBID","Non PubMed Citation Used in Study","https://doi.org/10.12688/gatesopenres.14287.2","","","",""
"SPSNX","TS","1","","RANDOM","Trial is Randomized","Y","","C49488","CDISC","2022-12-17"
